nombre_imagen, equivPxmmR1, equivPxmmR2, equivPxmmR3, equivPxmmR4, sumaAreaPxR1, sumaAreaPxR2, sumaAreaPxR3, sumaAreaPxR4, diametroPxR1, diametroPxR2, diametroPxR3, diametroPxR4, ejeMayorPxR1, ejeMayorPxR2, ejeMayorPxR3, ejeMayorPxR4, ejeMenorPxR1, ejeMenorPxR2, ejeMenorPxR3, ejeMenorPxR4, diametrommR1, diametrommR2, diametrommR3, diametrommR4, ejeMayormmR1, ejeMayormmR2, ejeMayormmR3, ejeMayormmR4, ejeMenormmR1, ejeMenormmR2, ejeMenormmR3, ejeMenormmR4, clasificacionSize 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\174.jpg,     0.3566,     0.4793,     0.4896,     0.4937,28520.0000, 15526.0000, 13911.0000, 15449.0000,   190.5592,   140.5998,   133.0866,   140.2508,   201.9041,   151.3504,   148.1937,   150.2024,   180.3517,   130.7408,   119.9343,   131.1355,    67.9589,    67.3833,    65.1656,    69.2365,    64.3187,    62.6583,    58.7256,    64.7366,    64.3187,    62.6583,    58.7256,    64.7366, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\176.jpg,     0.3566,     0.4793,     0.4896,     0.4937,31868.0000, 17917.0000, 16196.0000, 16880.0000,   201.4339,   151.0385,   143.6015,   146.6025,   208.0068,   166.5285,   156.9974,   162.3835,   195.1815,   137.1126,   131.4239,   132.4722,    71.8372,    72.3861,    70.3142,    72.3721,    69.6074,    65.7120,    64.3515,    65.3965,    69.6074,    65.7120,    64.3515,    65.3965, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\178.jpg,     0.3566,     0.4793,     0.4896,     0.4937,26726.0000, 14372.0000, 13850.0000, 14287.0000,   184.4684,   135.2738,   132.7945,   134.8732,   186.3662,   143.8562,   134.4732,   140.9898,   182.7100,   127.3975,   131.2529,   129.1457,    65.7868,    64.8308,    65.0225,    66.5818,    65.1597,    61.0560,    64.2677,    63.7543,    65.1597,    61.0560,    64.2677,    63.7543, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\179.jpg,     0.3566,     0.4793,     0.4896,     0.4937,33617.0000, 17014.0000, 17385.0000, 18727.0000,   206.8876,   147.1832,   148.7793,   154.4149,   216.1944,   156.5070,   159.1990,   163.1296,   198.1010,   139.1609,   139.1625,   146.3794,    73.7821,    70.5384,    72.8495,    76.2288,    70.6486,    66.6937,    68.1407,    72.2619,    70.6486,    66.6937,    68.1407,    72.2619, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\180.jpg,     0.3566,     0.4793,     0.4896,     0.4937,30713.0000, 15393.0000, 15034.0000, 15919.0000,   197.7499,   139.9963,   138.3542,   142.3682,   206.2076,   147.1394,   145.6503,   148.4810,   189.7798,   133.5411,   131.5135,   136.6034,    70.5233,    67.0941,    67.7449,    70.2818,    67.6810,    64.0004,    64.3953,    67.4359,    67.6810,    64.0004,    64.3953,    67.4359, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\181.jpg,     0.3566,     0.4793,     0.4896,     0.4937,34703.0000, 18066.0000, 17286.0000, 17724.0000,   210.2028,   151.6652,   148.3550,   150.2228,   220.8161,   159.3005,   157.8182,   158.8758,   200.2258,   144.9823,   139.5443,   142.2870,    74.9644,    72.6865,    72.6418,    74.1593,    71.4063,    69.4837,    68.3276,    70.2417,    71.4063,    69.4837,    68.3276,    70.2417, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\182.jpg,     0.3566,     0.4793,     0.4896,     0.4937,24581.0000, 12830.0000, 12356.0000, 12698.0000,   176.9110,   127.8110,   125.4279,   127.1519,   178.0425,   135.3681,   130.6727,   135.1944,   175.9073,   120.7711,   120.4915,   119.7527,    63.0916,    61.2542,    61.4155,    62.7700,    62.7336,    57.8803,    58.9984,    59.1174,    62.7336,    57.8803,    58.9984,    59.1174, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\183.jpg,     0.3566,     0.4793,     0.4896,     0.4937,32158.0000, 16752.0000, 17045.0000, 17375.0000,   202.3483,   146.0456,   147.3172,   148.7365,   207.2769,   153.0590,   151.5754,   153.6741,   197.6460,   139.5319,   143.2788,   144.1537,    72.1633,    69.9932,    72.1336,    73.4255,    70.4863,    66.8715,    70.1562,    71.1632,    70.4863,    66.8715,    70.1562,    71.1632, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\184.jpg,     0.3566,     0.4793,     0.4896,     0.4937,30909.0000, 17083.0000, 16071.0000, 16989.0000,   198.3798,   147.4814,   143.0463,   147.0750,   207.2302,   161.8245,   157.0344,   161.2360,   190.1084,   134.6655,   130.5361,   134.3128,    70.7480,    70.6813,    70.0423,    72.6054,    67.7982,    64.5392,    63.9168,    66.3051,    67.7982,    64.5392,    63.9168,    66.3051, SIN_CLASIFICAR 
C:\Users\Usuari\development\orange_classification\OrangeResults\inputToLearn\185.jpg,     0.3566,     0.4793,     0.4896,     0.4937,31425.0000, 15839.0000, 15469.0000, 16034.0000,   200.0289,   142.0100,   140.3415,   142.8815,   206.9461,   147.3840,   148.2824,   150.1227,   193.4766,   137.0561,   132.9557,   136.2556,    71.3361,    68.0591,    68.7179,    70.5352,    68.9994,    65.6850,    65.1015,    67.2642,    68.9994,    65.6850,    65.1015,    67.2642, SIN_CLASIFICAR 
